t1,time,Gap before measurement (min),date
2019-10-01 13:02:21.666,2019-10-01 13:02:00,0,2019-10-01
2019-10-02 19:35:28.250,2019-10-02 19:35:00,0,2019-10-02
2019-10-04 06:20:28.250,2019-10-04 06:20:00,0,2019-10-04
2019-12-05 13:43:11.000,2019-12-05 13:43:00,0,2019-12-05
2020-01-03 05:18:51.000,2020-01-03 05:18:00,0,2020-01-03
2020-01-29 22:26:46.289,2020-01-29 22:26:00,0,2020-01-29
2020-01-30 18:13:42.427,2020-01-30 18:13:00,0,2020-01-30
2020-02-17 06:33:29.106,2020-02-17 06:33:00,0,2020-02-17
2020-02-24 22:01:27.438,2020-02-24 22:01:00,0,2020-02-24
2020-02-26 20:47:21.661,2020-02-26 20:47:00,0,2020-02-26
2020-03-17 07:03:25.450,2020-03-17 07:03:00,0,2020-03-17
2020-03-19 05:09:07.754,2020-03-19 05:09:00,0,2020-03-19
2020-03-19 10:28:15.508,2020-03-19 10:28:00,0,2020-03-19
2020-03-21 02:55:02.826,2020-03-21 02:55:00,0,2020-03-21
2020-03-29 03:59:37.992,2020-03-29 03:59:00,0,2020-03-29
2020-03-29 06:29:45.163,2020-03-29 06:29:00,0,2020-03-29
2020-03-29 19:49:45.712,2020-03-29 19:49:00,0,2020-03-29
2020-03-30 14:19:33.768,2020-03-30 14:19:00,0,2020-03-30
2020-04-02 04:46:58.504,2020-04-02 04:46:00,0,2020-04-02
2020-04-04 14:27:57.141,2020-04-04 14:27:00,0,2020-04-04
2020-04-06 13:42:59.585,2020-04-06 13:42:00,0,2020-04-06
2020-04-06 19:44:36.410,2020-04-06 19:44:00,0,2020-04-06
2020-04-08 12:59:23.943,2020-04-08 12:59:00,0,2020-04-08
2020-04-11 06:33:57.589,2020-04-11 06:33:00,0,2020-04-11
2020-04-14 22:29:41.509,2020-04-14 22:29:00,0,2020-04-14
2020-04-15 09:08:05.356,2020-04-15 09:08:00,0,2020-04-15
2020-04-16 06:51:05.046,2020-04-16 06:51:00,0,2020-04-16
2020-04-18 15:27:45.208,2020-04-18 15:27:00,0,2020-04-18
2020-04-21 09:39:13.046,2020-04-21 09:39:00,0,2020-04-21
2020-04-21 12:26:25.178,2020-04-21 12:26:00,0,2020-04-21
2020-04-21 18:11:54.542,2020-04-21 18:11:00,0,2020-04-21
2020-04-22 05:36:20.456,2020-04-22 05:36:00,0,2020-04-22
2020-04-22 11:35:55.807,2020-04-22 11:35:00,0,2020-04-22
2020-04-23 19:01:22.326,2020-04-23 19:01:00,0,2020-04-23
2020-04-24 16:19:25.352,2020-04-24 16:19:00,0,2020-04-24
2020-04-27 09:29:24.803,2020-04-27 09:29:00,0,2020-04-27
2020-04-27 23:21:11.880,2020-04-27 23:21:00,0,2020-04-27
2020-04-29 03:19:55.362,2020-04-29 03:19:00,0,2020-04-29
2020-04-29 07:40:23.437,2020-04-29 07:40:00,0,2020-04-29
2020-04-30 22:08:52.681,2020-04-30 22:08:00,0,2020-04-30
2020-05-01 05:20:12.828,2020-05-01 05:20:00,0,2020-05-01
2020-05-01 14:06:30.081,2020-05-01 14:06:00,0,2020-05-01
2020-05-02 13:22:18.847,2020-05-02 13:22:00,0,2020-05-02
2020-05-04 22:45:13.670,2020-05-04 22:45:00,0,2020-05-04
2020-05-05 19:17:58.927,2020-05-05 19:17:00,0,2020-05-05
2020-05-06 16:40:20.089,2020-05-06 16:40:00,0,2020-05-06
2020-05-06 19:48:05.542,2020-05-06 19:48:00,0,2020-05-06
2020-05-06 22:24:11.337,2020-05-06 22:24:00,0,2020-05-06
2020-05-08 06:15:43.346,2020-05-08 06:15:00,0,2020-05-08
2020-05-08 09:43:59.072,2020-05-08 09:43:00,0,2020-05-08
2020-05-09 06:20:40.825,2020-05-09 06:20:00,0,2020-05-09
2020-05-10 00:25:40.264,2020-05-10 00:25:00,0,2020-05-10
2020-05-11 12:55:44.357,2020-05-11 12:55:00,0,2020-05-11
2020-05-13 12:09:25.550,2020-05-13 12:09:00,0,2020-05-13
2020-05-14 11:23:25.372,2020-05-14 11:23:00,0,2020-05-14
2020-05-14 20:30:33.621,2020-05-14 20:30:00,0,2020-05-14
2020-05-15 17:27:50.170,2020-05-15 17:27:00,0,2020-05-15
2020-05-19 06:43:36.338,2020-05-19 06:43:00,0,2020-05-19
2020-05-20 04:18:00.841,2020-05-20 04:18:00,0,2020-05-20
2020-05-21 06:02:25.433,2020-05-21 06:02:00,0,2020-05-21
2020-05-21 11:36:25.672,2020-05-21 11:36:00,0,2020-05-21
2020-05-23 23:58:58.643,2020-05-23 23:58:00,0,2020-05-23
2020-05-24 12:07:24.429,2020-05-24 12:07:00,0,2020-05-24
2020-05-25 09:25:52.157,2020-05-25 09:25:00,0,2020-05-25
2020-05-26 06:30:27.955,2020-05-26 06:30:00,0,2020-05-26
2020-05-26 23:12:12.337,2020-05-26 23:12:00,0,2020-05-26
2020-05-27 21:20:32.183,2020-05-27 21:20:00,0,2020-05-27
2020-05-28 20:21:35.842,2020-05-28 20:21:00,0,2020-05-28
2020-05-29 00:43:22.352,2020-05-29 00:43:00,0,2020-05-29
2020-06-01 23:00:57.331,2020-06-01 23:00:00,0,2020-06-01
2020-06-02 22:33:11.149,2020-06-02 22:33:00,0,2020-06-02
2020-06-05 05:45:44.053,2020-06-05 05:45:00,0,2020-06-05
2020-06-11 10:44:59.053,2020-06-11 10:44:00,0,2020-06-11
2020-06-18 03:15:37.516,2020-06-18 03:15:00,0,2020-06-18
2020-06-19 14:36:10.715,2020-06-19 14:36:00,0,2020-06-19
2020-06-19 20:41:22.799,2020-06-19 20:41:00,0,2020-06-19
2020-06-20 17:54:27.007,2020-06-20 17:54:00,0,2020-06-20
2020-07-23 09:42:45.703,2020-07-23 09:42:00,0,2020-07-23
2020-07-24 19:53:52.220,2020-07-24 19:53:00,0,2020-07-24
2020-07-30 17:49:32.741,2020-07-30 17:49:00,0,2020-07-30
2020-08-01 00:19:54.414,2020-08-01 00:19:00,0,2020-08-01
2020-08-01 13:24:57.704,2020-08-01 13:24:00,0,2020-08-01
2020-08-01 14:26:33.541,2020-08-01 14:26:00,0,2020-08-01
2020-08-02 07:22:58.852,2020-08-02 07:22:00,0,2020-08-02
2020-08-03 10:57:18.948,2020-08-03 10:57:00,0,2020-08-03
2020-08-06 06:35:03.928,2020-08-06 06:35:00,0,2020-08-06
2020-08-08 16:12:53.915,2020-08-08 16:12:00,0,2020-08-08
2020-08-10 08:19:21.384,2020-08-10 08:19:00,0,2020-08-10
2020-08-11 05:58:22.181,2020-08-11 05:58:00,0,2020-08-11
2020-08-12 03:55:23.430,2020-08-12 03:55:00,0,2020-08-12
2020-08-13 19:54:01.974,2020-08-13 19:54:00,0,2020-08-13
2020-08-15 16:09:43.695,2020-08-15 16:09:00,0,2020-08-15
2020-08-16 10:49:39.927,2020-08-16 10:49:00,0,2020-08-16
2020-08-16 15:31:47.307,2020-08-16 15:31:00,0,2020-08-16
2020-08-17 19:42:12.429,2020-08-17 19:42:00,0,2020-08-17
2020-08-19 16:30:58.454,2020-08-19 16:30:00,0,2020-08-19
2020-08-20 12:23:21.651,2020-08-20 12:23:00,0,2020-08-20
2020-08-21 00:33:36.516,2020-08-21 00:33:00,0,2020-08-21
2020-08-21 04:49:01.742,2020-08-21 04:49:00,0,2020-08-21
2020-08-22 09:44:52.205,2020-08-22 09:44:00,0,2020-08-22
2020-08-22 16:46:49.350,2020-08-22 16:46:00,0,2020-08-22
2020-08-22 18:53:12.352,2020-08-22 18:53:00,0,2020-08-22
2020-08-23 11:56:33.968,2020-08-23 11:56:00,0,2020-08-23
2020-08-24 00:04:00.799,2020-08-24 00:04:00,0,2020-08-24
2020-08-25 05:08:26.613,2020-08-25 05:08:00,0,2020-08-25
2020-08-25 21:01:19.235,2020-08-25 21:01:00,0,2020-08-25
2020-08-26 05:31:43.737,2020-08-26 05:31:00,0,2020-08-26
2020-08-26 08:22:08.772,2020-08-26 08:22:00,0,2020-08-26
2020-08-28 00:02:31.542,2020-08-28 00:02:00,0,2020-08-28
2020-08-29 01:39:34.054,2020-08-29 01:39:00,0,2020-08-29
2020-08-30 06:12:59.946,2020-08-30 06:12:00,0,2020-08-30
2020-08-31 00:19:24.081,2020-08-31 00:19:00,0,2020-08-31
2020-09-01 15:14:34.555,2020-09-01 15:14:00,0,2020-09-01
2020-09-06 14:16:32.806,2020-09-06 14:16:00,0,2020-09-06
2020-09-07 13:50:09.953,2020-09-07 13:50:00,0,2020-09-07
2020-09-08 11:57:51.384,2020-09-08 11:57:00,0,2020-09-08
2020-09-08 16:06:04.074,2020-09-08 16:06:00,0,2020-09-08
2020-09-09 22:13:26.642,2020-09-09 22:13:00,0,2020-09-09
2020-09-11 03:15:49.812,2020-09-11 03:15:00,0,2020-09-11
2020-09-16 16:48:48.160,2020-09-16 16:48:00,0,2020-09-16
2020-09-17 12:30:45.237,2020-09-17 12:30:00,0,2020-09-17
2020-09-19 20:21:51.109,2020-09-19 20:21:00,0,2020-09-19
2020-09-20 13:19:15.375,2020-09-20 13:19:00,0,2020-09-20
2020-09-21 00:29:02.556,2020-09-21 00:29:00,0,2020-09-21
2020-09-22 16:54:02.492,2020-09-22 16:54:00,0,2020-09-22
2020-09-23 10:23:54.219,2020-09-23 10:23:00,0,2020-09-23
2020-09-24 17:30:59.859,2020-09-24 17:30:00,0,2020-09-24
2020-09-26 10:57:01.479,2020-09-26 10:57:00,0,2020-09-26
2020-09-27 06:37:34.351,2020-09-27 06:37:00,0,2020-09-27
2020-09-28 04:54:16.470,2020-09-28 04:54:00,0,2020-09-28
2020-10-01 03:28:08.935,2020-10-01 03:28:00,0,2020-10-01
2020-10-01 21:54:16.338,2020-10-01 21:54:00,0,2020-10-01
2020-10-02 11:38:52.326,2020-10-02 11:38:00,0,2020-10-02
2020-10-03 16:57:05.597,2020-10-03 16:57:00,0,2020-10-03
2020-10-03 21:42:41.371,2020-10-03 21:42:00,0,2020-10-03
2020-10-07 00:12:19.675,2020-10-07 00:12:00,0,2020-10-07
2020-10-08 11:10:00.459,2020-10-08 11:10:00,0,2020-10-08
2020-10-10 00:56:35.120,2020-10-10 00:56:00,0,2020-10-10
2020-10-11 02:58:39.252,2020-10-11 02:58:00,0,2020-10-11
2020-10-11 23:46:04.350,2020-10-11 23:46:00,0,2020-10-11
2020-10-13 04:24:01.561,2020-10-13 04:24:00,0,2020-10-13
2020-10-13 06:02:18.203,2020-10-13 06:02:00,0,2020-10-13
2020-10-13 16:52:25.544,2020-10-13 16:52:00,0,2020-10-13
2020-10-16 04:31:28.082,2020-10-16 04:31:00,0,2020-10-16
2020-10-16 13:56:33.889,2020-10-16 13:56:00,0,2020-10-16
2020-10-19 04:51:48.281,2020-10-19 04:51:00,0,2020-10-19
2020-10-19 20:53:13.726,2020-10-19 20:53:00,0,2020-10-19
2020-10-21 04:01:15.599,2020-10-21 04:01:00,0,2020-10-21
2020-10-21 06:37:32.405,2020-10-21 06:37:00,0,2020-10-21
2020-10-23 16:21:47.730,2020-10-23 16:21:00,0,2020-10-23
2020-10-24 14:06:57.318,2020-10-24 14:06:00,0,2020-10-24
2020-10-26 08:09:31.838,2020-10-26 08:09:00,0,2020-10-26
2020-10-27 23:37:13.610,2020-10-27 23:37:00,0,2020-10-27
2020-10-28 02:26:55.823,2020-10-28 02:26:00,0,2020-10-28
2020-11-01 07:25:14.413,2020-11-01 07:25:00,0,2020-11-01
2020-11-01 09:24:50.309,2020-11-01 09:24:00,0,2020-11-01
2020-11-02 09:46:37.882,2020-11-02 09:46:00,0,2020-11-02
2020-11-09 05:56:31.017,2020-11-09 05:56:00,0,2020-11-09
2020-11-13 06:55:08.072,2020-11-13 06:55:00,0,2020-11-13
2020-11-16 08:11:27.957,2020-11-16 08:11:00,0,2020-11-16
2020-11-19 21:05:38.532,2020-11-19 21:05:00,0,2020-11-19
2020-11-20 04:59:28.528,2020-11-20 04:59:00,0,2020-11-20
2020-11-21 00:46:20.402,2020-11-21 00:46:00,0,2020-11-21
2020-11-22 09:25:59.012,2020-11-22 09:25:00,0,2020-11-22
2020-11-23 15:50:35.000,2020-11-23 15:50:00,0,2020-11-23
2020-11-23 15:51:44.959,2020-11-23 15:51:00,0,2020-11-23
2020-11-23 15:52:30.369,2020-11-23 15:52:00,0,2020-11-23
2020-11-24 14:28:27.740,2020-11-24 14:28:00,0,2020-11-24
2020-11-28 22:12:47.411,2020-11-28 22:12:00,0,2020-11-28
2020-11-29 14:28:33.410,2020-11-29 14:28:00,0,2020-11-29
2020-12-13 14:10:15.489,2020-12-13 14:10:00,0,2020-12-13
2020-12-13 14:15:36.227,2020-12-13 14:15:00,0,2020-12-13
2021-05-29 16:16:29.258,2021-05-29 16:16:00,0,2021-05-29
2021-05-30 05:00:01.046,2021-05-30 05:00:00,0,2021-05-30
2021-06-01 11:34:21.454,2021-06-01 11:34:00,0,2021-06-01
2021-06-06 17:31:25.991,2021-06-06 17:31:00,0,2021-06-06
2021-06-15 14:01:32.525,2021-06-15 14:01:00,0,2021-06-15
2021-06-28 11:42:04.132,2021-06-28 11:42:00,0,2021-06-28
2021-07-01 14:17:18.530,2021-07-01 14:17:00,0,2021-07-01
2021-07-04 22:29:30.450,2021-07-04 22:29:00,0,2021-07-04
2021-07-04 22:35:21.400,2021-07-04 22:35:00,0,2021-07-04
2021-07-12 20:27:38.397,2021-07-12 20:27:00,0,2021-07-12
2021-07-31 17:34:29.119,2021-07-31 17:34:00,0,2021-07-31
2021-08-12 16:49:17.596,2021-08-12 16:47:00,2,2021-08-12
2021-08-13 13:03:16.148,2021-08-13 13:03:00,0,2021-08-13
2021-08-15 03:56:55.318,2021-08-15 03:54:00,2,2021-08-15
2021-08-27 01:15:12.828,2021-08-27 01:15:00,0,2021-08-27
2021-08-27 02:48:56.499,2021-08-27 02:48:00,0,2021-08-27
2021-08-27 02:53:52.702,2021-08-27 02:53:00,0,2021-08-27
2021-08-27 20:46:43.719,2021-08-27 20:45:00,1,2021-08-27
2021-09-02 04:04:49.823,2021-09-02 04:04:00,0,2021-09-02
2021-09-29 06:25:20.722,2021-09-29 06:25:00,0,2021-09-29
2021-10-13 13:51:17.077,2021-10-13 13:51:00,0,2021-10-13
2021-10-21 20:12:54.111,2021-10-21 20:12:00,0,2021-10-21
2021-12-25 16:16:05.732,2021-12-25 16:14:00,2,2021-12-25
2021-12-28 20:01:47.429,2021-12-28 20:01:00,0,2021-12-28
2021-12-28 22:31:13.731,2021-12-28 22:29:00,2,2021-12-28
2022-01-01 20:37:47.500,2022-01-01 20:37:00,0,2022-01-01
2022-01-03 08:18:55.797,2022-01-03 08:14:00,4,2022-01-03
2022-01-04 10:31:49.824,2022-01-04 10:31:00,0,2022-01-04
2022-01-05 03:41:55.971,2022-01-05 03:41:00,0,2022-01-05
2022-01-05 13:47:36.888,2022-01-05 13:47:00,0,2022-01-05
2022-01-06 00:33:27.603,2022-01-06 00:33:00,0,2022-01-06
2022-01-11 00:55:28.464,2022-01-11 00:55:00,0,2022-01-11
2022-01-13 06:24:16.648,2022-01-13 06:23:00,1,2022-01-13
2022-01-15 17:51:38.457,2022-01-15 17:51:00,0,2022-01-15
2022-01-18 18:43:38.188,2022-01-18 18:43:00,0,2022-01-18
2022-01-19 09:28:42.305,2022-01-19 09:28:00,0,2022-01-19
2022-01-21 04:27:22.874,2022-01-21 04:27:00,0,2022-01-21
2022-01-23 08:24:45.682,2022-01-23 08:24:00,0,2022-01-23
2022-01-25 17:39:18.265,2022-01-25 17:34:00,5,2022-01-25
2022-01-27 13:16:49.258,2022-01-27 13:16:00,0,2022-01-27
2022-01-28 04:51:25.020,2022-01-28 04:51:00,0,2022-01-28
2022-01-30 19:07:26.807,2022-01-30 19:07:00,0,2022-01-30
2022-01-30 19:08:00.000,2022-01-30 19:07:00,1,2022-01-30
2022-02-01 10:48:21.403,2022-02-01 10:45:00,3,2022-02-01
2022-02-03 00:54:22.221,2022-02-03 00:54:00,0,2022-02-03
2022-03-15 15:56:59.848,2022-03-15 15:56:00,0,2022-03-15
2022-03-18 03:11:34.815,2022-03-18 03:11:00,0,2022-03-18
2022-03-19 10:08:08.387,2022-03-19 09:49:00,19,2022-03-19
2022-03-20 20:02:14.645,2022-03-20 20:02:00,0,2022-03-20
2022-03-22 09:49:48.738,2022-03-22 09:47:00,2,2022-03-22
2022-03-23 07:40:13.532,2022-03-23 07:39:00,1,2022-03-23
2022-03-23 19:39:31.238,2022-03-23 19:36:00,3,2022-03-23
2022-03-24 04:45:17.728,2022-03-24 04:45:00,0,2022-03-24
2022-03-25 07:33:57.132,2022-03-25 07:33:00,0,2022-03-25
2022-03-27 00:50:56.669,2022-03-27 00:48:00,2,2022-03-27
2022-04-04 16:42:52.695,2022-04-04 16:42:00,0,2022-04-04
2022-04-06 07:36:09.350,2022-04-06 07:34:00,2,2022-04-06
2022-04-07 17:41:05.000,2022-04-07 17:41:00,0,2022-04-07
2022-04-07 19:22:47.000,2022-04-07 19:21:00,1,2022-04-07
2022-04-25 12:18:11.550,2022-04-25 12:17:00,1,2022-04-25
2022-04-26 07:56:35.750,2022-04-26 07:56:00,0,2022-04-26
2022-04-28 20:05:01.847,2022-04-28 20:05:00,0,2022-04-28
2022-05-02 05:27:58.025,2022-05-02 05:27:00,0,2022-05-02
2022-05-02 08:39:38.915,2022-05-02 08:39:00,0,2022-05-02
2022-05-03 02:14:14.133,2022-05-03 02:14:00,0,2022-05-03
2022-05-03 06:23:07.993,2022-05-03 06:23:00,0,2022-05-03
2022-05-03 12:18:53.337,2022-05-03 12:18:00,0,2022-05-03
2022-05-03 12:29:34.427,2022-05-03 12:29:00,0,2022-05-03
2022-05-03 23:50:59.494,2022-05-03 23:50:00,0,2022-05-03
2022-05-04 07:06:21.265,2022-05-04 07:06:00,0,2022-05-04
2022-05-04 21:06:36.350,2022-05-04 21:06:00,0,2022-05-04
2022-05-04 22:38:41.282,2022-05-04 22:38:00,0,2022-05-04
2022-05-05 06:48:47.872,2022-05-05 06:48:00,0,2022-05-05
2022-05-05 07:29:07.997,2022-05-05 07:29:00,0,2022-05-05
2022-05-05 13:26:11.874,2022-05-05 13:26:00,0,2022-05-05
2022-05-05 23:04:58.730,2022-05-05 23:04:00,0,2022-05-05
2022-05-06 00:23:58.591,2022-05-06 00:23:00,0,2022-05-06
2022-05-06 03:21:55.885,2022-05-06 03:21:00,0,2022-05-06
2022-05-06 06:36:30.294,2022-05-06 06:36:00,0,2022-05-06
2022-05-06 06:46:21.400,2022-05-06 06:46:00,0,2022-05-06
2022-05-06 20:36:53.333,2022-05-06 20:36:00,0,2022-05-06
2022-05-06 22:49:40.123,2022-05-06 22:49:00,0,2022-05-06
2022-05-07 04:36:41.174,2022-05-07 04:35:00,1,2022-05-07
2022-05-07 06:02:53.511,2022-05-07 06:02:00,0,2022-05-07
2022-05-07 08:12:05.145,2022-05-07 08:10:00,2,2022-05-07
2022-05-07 15:35:09.070,2022-05-07 15:35:00,0,2022-05-07
2022-05-07 18:14:23.446,2022-05-07 18:14:00,0,2022-05-07
2022-05-08 01:59:09.093,2022-05-08 01:59:00,0,2022-05-08
2022-05-08 09:33:30.020,2022-05-08 09:33:00,0,2022-05-08
2022-05-08 15:11:36.307,2022-05-08 15:11:00,0,2022-05-08
2022-05-10 00:18:01.407,2022-05-10 00:16:00,2,2022-05-10
2022-05-10 10:18:02.167,2022-05-10 10:17:00,1,2022-05-10
2022-05-10 13:38:18.817,2022-05-10 13:35:00,3,2022-05-10
2022-05-11 05:28:07.199,2022-05-11 05:28:00,0,2022-05-11
2022-05-11 06:08:50.641,2022-05-11 06:08:00,0,2022-05-11
2022-05-12 00:06:44.853,2022-05-11 23:58:00,8,2022-05-12
2022-05-12 02:27:31.735,2022-05-12 02:27:00,0,2022-05-12
2022-05-12 09:37:20.573,2022-05-12 09:37:00,0,2022-05-12
2022-05-12 16:39:55.886,2022-05-12 16:35:00,4,2022-05-12
2022-05-17 06:16:25.448,2022-05-17 06:16:00,0,2022-05-17
2022-05-18 18:33:47.809,2022-05-18 18:33:00,0,2022-05-18
2022-05-18 19:44:09.334,2022-05-18 19:42:00,2,2022-05-18
2022-05-18 23:11:58.600,2022-05-18 23:11:00,0,2022-05-18
2022-05-19 02:09:12.915,2022-05-19 02:08:00,1,2022-05-19
2022-05-20 07:58:22.743,2022-05-20 07:58:00,0,2022-05-20
2022-05-21 08:54:23.618,2022-05-21 08:53:00,1,2022-05-21
2022-05-21 10:46:09.294,2022-05-21 10:46:00,0,2022-05-21
2022-05-24 08:24:03.662,2022-05-24 08:24:00,0,2022-05-24
2022-05-24 08:59:13.788,2022-05-24 08:57:00,2,2022-05-24
2022-05-24 14:17:12.000,2022-05-24 14:17:00,0,2022-05-24
2022-05-25 23:31:33.998,2022-05-25 23:30:00,1,2022-05-25
2022-05-27 00:32:00.183,2022-05-27 00:32:00,0,2022-05-27
2022-05-27 00:50:23.982,2022-05-27 00:50:00,0,2022-05-27
2022-05-27 01:45:27.667,2022-05-27 01:44:00,1,2022-05-27
2022-05-27 08:49:34.655,2022-05-27 08:49:00,0,2022-05-27
2022-05-27 13:04:09.597,2022-05-27 13:04:00,0,2022-05-27
2022-05-27 23:37:03.084,2022-05-27 23:37:00,0,2022-05-27
2022-05-28 00:48:35.800,2022-05-28 00:45:00,3,2022-05-28
2022-05-28 02:33:14.258,2022-05-28 02:31:00,2,2022-05-28
2022-05-28 02:58:23.408,2022-05-28 02:55:00,3,2022-05-28
2022-05-28 03:47:18.891,2022-05-28 03:47:00,0,2022-05-28
2022-05-28 07:25:36.534,2022-05-28 07:25:00,0,2022-05-28
2022-05-28 09:13:24.360,2022-05-28 09:13:00,0,2022-05-28
2022-06-01 00:33:00.000,2022-06-01 00:31:00,2,2022-06-01
2022-06-02 21:58:32.305,2022-06-02 21:58:00,0,2022-06-02
2022-06-03 19:03:10.539,2022-06-03 19:01:00,2,2022-06-03
2022-06-04 02:23:41.800,2022-06-04 02:23:00,0,2022-06-04
2022-06-04 03:34:50.694,2022-06-04 03:34:00,0,2022-06-04
2022-06-04 05:36:29.560,2022-06-04 05:36:00,0,2022-06-04
2022-06-04 07:57:55.584,2022-06-04 07:56:00,1,2022-06-04
2022-06-04 08:44:00.942,2022-06-04 08:43:00,1,2022-06-04
2022-06-04 10:17:13.841,2022-06-04 10:17:00,0,2022-06-04
2022-06-04 11:12:26.200,2022-06-04 11:09:00,3,2022-06-04
2022-06-04 12:26:37.214,2022-06-04 12:23:00,3,2022-06-04
2022-06-04 13:20:57.880,2022-06-04 13:20:00,0,2022-06-04
2022-06-04 14:42:25.180,2022-06-04 14:42:00,0,2022-06-04
2022-06-04 19:21:17.015,2022-06-04 19:20:00,1,2022-06-04
2022-06-04 21:26:14.431,2022-06-04 21:25:00,1,2022-06-04
2022-06-05 00:26:03.187,2022-06-05 00:26:00,0,2022-06-05
2022-06-05 01:29:05.049,2022-06-05 01:27:00,2,2022-06-05
2022-06-05 01:33:42.960,2022-06-05 01:32:00,1,2022-06-05
2022-06-05 07:35:00.499,2022-06-05 07:33:00,2,2022-06-05
2022-06-05 10:03:08.083,2022-06-05 10:02:00,1,2022-06-05
2022-06-05 18:58:35.983,2022-06-05 18:58:00,0,2022-06-05
2022-06-05 22:32:34.319,2022-06-05 22:28:00,4,2022-06-05
2022-06-06 07:54:23.518,2022-06-06 07:52:00,2,2022-06-06
2022-06-06 08:13:32.912,2022-06-06 08:13:00,0,2022-06-06
2022-06-06 14:04:05.466,2022-06-06 14:02:00,2,2022-06-06
2022-06-09 00:22:07.831,2022-06-09 00:22:00,0,2022-06-09
2022-06-09 01:16:51.467,2022-06-09 01:13:00,3,2022-06-09
2022-06-09 14:28:12.871,2022-06-09 14:28:00,0,2022-06-09
2022-06-09 18:49:45.099,2022-06-09 18:48:00,1,2022-06-09
2022-06-10 22:52:00.285,2022-06-10 22:52:00,0,2022-06-10
2022-06-11 23:58:49.842,2022-06-11 23:58:00,0,2022-06-11
2022-06-12 17:54:28.263,2022-06-12 17:53:00,1,2022-06-12
2022-06-12 20:14:38.856,2022-06-12 20:14:00,0,2022-06-12
2022-06-13 02:21:24.922,2022-06-13 02:21:00,0,2022-06-13
2022-06-13 08:49:08.070,2022-06-13 08:49:00,0,2022-06-13
2022-06-13 12:47:25.027,2022-06-13 12:47:00,0,2022-06-13
2022-06-13 18:42:58.728,2022-06-13 18:42:00,0,2022-06-13
2022-06-13 22:02:02.167,2022-06-13 22:02:00,0,2022-06-13
2022-06-14 04:31:45.148,2022-06-14 04:31:00,0,2022-06-14
2022-06-14 05:04:44.132,2022-06-14 05:04:00,0,2022-06-14
2022-06-14 10:47:37.495,2022-06-14 10:47:00,0,2022-06-14
2022-06-15 00:25:33.842,2022-06-15 00:25:00,0,2022-06-15
2022-06-15 05:02:32.880,2022-06-15 05:02:00,0,2022-06-15
2022-06-15 07:09:16.748,2022-06-15 07:09:00,0,2022-06-15
2022-06-15 07:36:45.803,2022-06-15 07:36:00,0,2022-06-15
2022-06-15 10:00:08.508,2022-06-15 10:00:00,0,2022-06-15
2022-06-15 10:14:31.506,2022-06-15 10:14:00,0,2022-06-15
2022-06-15 10:55:47.894,2022-06-15 10:55:00,0,2022-06-15
2022-06-27 14:58:41.041,2022-06-27 14:57:00,1,2022-06-27
2022-07-09 03:57:09.500,2022-07-09 03:57:00,0,2022-07-09
2022-07-22 07:40:14.000,2022-07-22 07:40:00,0,2022-07-22
